"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 17:31:04 GMT 2024","Thu Feb 08 17:31:04 GMT 2024","0","test.e2e","test_smoke","TestSmoke","","","test_mainpage_loads",""
"passed","Thu Feb 08 17:30:58 GMT 2024","Thu Feb 08 17:31:00 GMT 2024","1625","test.e2e","Sanity test","TestSanity","","","Registration page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the registration page"
"passed","Thu Feb 08 17:30:36 GMT 2024","Thu Feb 08 17:30:58 GMT 2024","22211","test.e2e","Sanity test","TestSanity","","","Login page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the login page"
"passed","Thu Feb 08 17:31:00 GMT 2024","Thu Feb 08 17:31:02 GMT 2024","1948","test.e2e","Sanity test","TestSanity","","","Refresh webpage","Assert that refreshing the webpage works"
"passed","Thu Feb 08 17:31:02 GMT 2024","Thu Feb 08 17:31:04 GMT 2024","1593","test.e2e","Sanity test","TestSanity","","","Navigation backwards and forward","Assert that navigating backwards and forward is working properly"
"passed","Thu Feb 08 17:31:07 GMT 2024","Thu Feb 08 17:31:08 GMT 2024","1069","test.e2e","Smoke test","TestSmoke","","","Connecting to database","Assert that the database can be connected to"
"passed","Thu Feb 08 17:30:36 GMT 2024","Thu Feb 08 17:30:36 GMT 2024","0","test.e2e","test_sanity","TestSanity","","","test_mainpage",""
"passed","Thu Feb 08 17:31:04 GMT 2024","Thu Feb 08 17:31:05 GMT 2024","1419","test.e2e","Smoke test","TestSmoke","","","Login page loads succesfully","Assert that the login page loads in"
"passed","Thu Feb 08 17:31:05 GMT 2024","Thu Feb 08 17:31:07 GMT 2024","1415","test.e2e","Smoke test","TestSmoke","","","Registration page loads succesfully","Assert that the registration page loads in"
