"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 17:35:08 GMT 2024","Thu Feb 08 17:35:08 GMT 2024","1","test.e2e","test_smoke","TestSmoke","","","test_mainpage_loads",""
"passed","Thu Feb 08 17:34:59 GMT 2024","Thu Feb 08 17:34:59 GMT 2024","1","test.e2e","test_sanity","TestSanity","","","test_mainpage",""
"passed","Thu Feb 08 17:35:04 GMT 2024","Thu Feb 08 17:35:06 GMT 2024","1755","test.e2e","Sanity test","TestSanity","","","Refresh webpage","Assert that refreshing the webpage works"
"passed","Thu Feb 08 17:35:03 GMT 2024","Thu Feb 08 17:35:04 GMT 2024","1634","test.e2e","Sanity test","TestSanity","","","Registration page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the registration page"
"passed","Thu Feb 08 17:35:08 GMT 2024","Thu Feb 08 17:35:09 GMT 2024","1410","test.e2e","Smoke test","TestSmoke","","","Login page loads succesfully","Assert that the login page loads in"
"passed","Thu Feb 08 17:35:06 GMT 2024","Thu Feb 08 17:35:08 GMT 2024","1607","test.e2e","Sanity test","TestSanity","","","Navigation backwards and forward","Assert that navigating backwards and forward is working properly"
"passed","Thu Feb 08 17:35:11 GMT 2024","Thu Feb 08 17:35:12 GMT 2024","1074","test.e2e","Smoke test","TestSmoke","","","Connecting to database","Assert that the database can be connected to"
"passed","Thu Feb 08 17:34:59 GMT 2024","Thu Feb 08 17:35:03 GMT 2024","3382","test.e2e","Sanity test","TestSanity","","","Login page - visibility of webelements","Assert that all neccessary webelements are visible and interactable on the login page"
"passed","Thu Feb 08 17:35:09 GMT 2024","Thu Feb 08 17:35:11 GMT 2024","1418","test.e2e","Smoke test","TestSmoke","","","Registration page loads succesfully","Assert that the registration page loads in"
